Sentence,Emotion
제 남친은 이제 일병이 될 군인인데요...,슬픔
"힘들고 지칠 때도 많았을텐데 늘 밝은 모습으로 와줘서 , 캐럿이라는 이름을 행복하게 해줘서 고마워요",행복
이승엽은 안티가 없는 선스다 대단....ㄷㄷ,놀람
다음이 기대되는 우리 연아님생일 축하드려용 ~ !!!!!!!,행복
목줄채워라 견주들 망신시키지말고,혐오
영원한건없다 지구도 우리도,공포
이분위기에 찬물끼언는격으로 일부정치인들나대지점말지말입니다.,분노
왜 사냐...........,분노
근데도 할만할정도로일이 줄었습니다.,공포
최순실 록키드마틴 로비스트 커넥션 커미션이나 먼저 수사해라,혐오
그리고 집가는중 이별통보를받앗습니다,슬픔
화장실 청소하다가 당황스럽네...,공포
어떻게 극복해야할까요?,공포
다저스 큰일났네 ㅋㅋ,행복
광학테크놀로지의 사각지대가 없는 시대.,공포
보검이 역쉬 머쪄,행복
그만새로고침해,혐오
자동 운전이 필요하냐?,놀람
아니 구글에 위성사진이면 어디 군부대가 학교 병원 다 나오는데...,놀람
면세점 지하주차장에 관광 버수주차장없으면허가 취소해야 된다. 진심!!!,분노
난 성근이형이 내년까지 한화 감독 할것 같아서무섭다,공포
아파서 이것밖에안먹는데ㅜㅜ,슬픔
저번편지에 댓글 달아줘서 너무 고마워요,행복
노무현 10분의 1에서 내렸다.. 비리 저지르고 그걸 덮기위해 국가위신은 생각지도 않은채 자살한 대통령의 10분의 1아 도대체 뭘까??,혐오
네ㅡ엣날 크레이지아케이드 아뒤 오사마빈오뎅 이엇음,중립
여태 보모가 함께 도망다녀놓고 이제와 봐줄사람이 없다고 난리,혐오
루이로 와줘사 정말 고마웠어,행복
저한테 마지막 한 말이 연애의 생각 없다고 그랬거든요.,슬픔
진짜 벚꽃 구경가겠네!?ㅋ,놀람
신문사 거의 다 퍼진걸로 봐서 민주당에서 뿌린거 같음,놀람
진짜 있기는 한건가?,놀람
그래서 오리발이 많았구나..,중립
대륙은 뭐든 스케일이 남달라;;,행복
전경련이나 민노총이나 둘다 없어져야 한다,분노
우리나라를 대체 뭘로 보는거야!!,분노
기름보일러라 더더욱 보일러는 못키겠고..,슬픔
사진속 고양이가 너무 불쌍해요ㅠㅠ,슬픔
배고파서 머리아프당 ㅜㅜㅜㅜㅜ,슬픔
국민들 피눈물 흘리는건 안보이지..아휴 18.,분노
한국 뉴스보고 애플 망한줄 알았디,중립
그렇다고 보내자니 안보고 살 자신도 없어요.,슬픔
불법정부 철회해야.,혐오
도둑눔이 도둑질한 물건 도둑질 당했다고 찿아달라하는격.,혐오
부사관이라는게 공무원중에서는 가장되기쉬운 공무원인대...,슬픔
이재용 무조건 구속해라,혐오
저기 옆에 건물들도 위험해보이는데요?,공포
병신4적 그네 순실 기춘 병우 이네년놈은 꼭 잡아 넣어라,분노
언론이 잘못한거야,혐오
오랜만에 듣는 아름다운 소식이군요,행복
일산에 비 안오는데 우산 쓰면 루저인가?,슬픔
박근혜의 저주다,공포
민영화해라!,분노
고백한시점으로부터 꽤시간이흘럿는데..;;,공포
한용덕은 빼가면 안된다 이눔드라!!!!!!!!,분노
강력대응하세요!!,분노
그렇다고 회사 덜컥 그만두고 회사 구하기엔..,공포
우리는 항모대신 핵잠수함을 만들어야 합니다!,분노
증거 좀 달라 하면 주지도 못할 것들이앞담은 드럽게 까요,분노
김기춘 같은 악마가 권력을 휘두르게 놔둔 자 누구입니까,분노
거봐요 아이폰이 있는데 꼭 뻘짓하는 인간들이 이런 사고를 당하는겁니다,분노
미친왜교부. 건건히 일본에 결재 받으러 다녀라,혐오
기춘아 너로 인해 죽은사람들 지금도 고통받는 가족들한테 사죄하면서 남은여생 차가운골방 입창을 축하한다,혐오
훈련병 기간 끝날때까지 편지 안올수도 있어요?,놀람
무슨일을 하기전에 겁부터나요 죽겟어요ㅜㅜ,공포
새해부터 거짓말로 한해 시작하는 사람도 있내요,분노
이건 어떤놈이 해쳐먹는겨?,분노
이정도면 담주면 뒤집어질 수치임..,놀람
씨반것들! 어떻게든 뇌물로 엮어가려하는구나 게언론검찰 나부랭이들이,분노
너무 질투나서 미쳐버리겟습니다 ㅜㅜ,슬픔
헌재는 침몰하는 나라를 구한다는 비상한 신념과 의지로 박근혜 탄핵 인용하시길~,혐오
여기가 무슨 중국?미국?좁디좁은 우리 대한민국이다!!!!!!!!,분노
헐 너무 좋아ㅠㅠㅠㅠㅠㅜ,행복
아니 아무리해도 안되고해서 포기하고 3년이 훌러네요..,슬픔
지저분하게 시간끌기 하지 말고 즉각 퇴진하라,분노
사실 피티 가격을 잘 몰라서요,공포
너무 멋지고 훌륭합니다.,행복
노조떨거지들 너들 돈줄 곧 없어진다.,혐오
알바로들어왔는데..이렇게짧게일할줄야...,놀람
세월호는 악마 박그네년이 고의로 침몰시킨 고의학살임.,분노
평생 감옥에서 못나오게 해라 이개쉐드라ㅋ,분노
내일모레가 일주일 뒤가 되고...,놀람
아 진짜 생머리이신 분들..복받은겁니다...0,슬픔
그래서 언제 던질 수 있는데? 쩝,중립
여기모인 해병대는 진짜해병이 아니도 개병이지,분노
죄송합니다^^....,슬픔
